ra       dec         new_ra      new_dec         radius 
0.08875       -2.61055555556       0.0893332       -2.6120641       0.00660883394096       23 
0.1       17.225       0.1169203       +17.2193357       0.00754885615329       38 
0.158333333333       20.0591666667       0.1591929       +20.0593300       0.00311003950163       53 
0.159583333333       28.385       0.158083       28.384556       0.00597241972596       54 
0.15       33.6016666667       0.1557363       +33.6017139       0.00342192687168       55 
0.184583333333       28.4013888889       0.183333       28.401444       0.00335141931815       58 
0.195       28.4027777778       0.195667       28.402028       0.00373204740195       63 
0.225       20.345       0.2331413       +20.3381393       0.00756325703658       70 
0.262083333333       28.9116666667       0.2451972       +28.9114464       0.00733707360233       76 
0.25       6.22833333333       0.2502348       +6.2396347       0.00548488994787       81 
0.309583333333       34.6758333333       0.3094062       +34.6760327       0.00665327698397       91 
0.3       6.32583333333       0.2869184       +6.3332286       0.00296066939933       96 
0.3325       13.1116666667       0.3333033       +13.1112288       0.00523449537282       101 
0.333333333333       34.5258333333       0.3325427       +34.5255972       0.012111323015       102 
0.359166666667       13.1127777778       0.3589498       +13.1125171       0.00322690016416       108 
0.360833333333       31.4338888889       0.361542       31.43375       0.00596000751589       109 
0.35       5.35055555556       0.3335755       +5.3596337       0.00258456258393       110 
0.375833333333       31.4425       0.375208       31.441861       0.00627860286612       112 
0.400416666667       33.5625       0.4004334       +33.5631600       0.00237172375017       119 
0.407916666667       23.4847222222       0.409667       23.483639       0.0157882373673       120 
0.407916666667       26.9227777778       0.4101564       +26.9232801       0.00440684202169       121 
0.427083333333       23.4947222222       0.424708       23.495889       0.00921750992217       129 
0.475       17.5502777778       0.4589325       +17.5623555       0.00237427125225       146 
0.5       16.585       0.5198182       +16.5920118       0.00415549752563       156 
0.580833333333       12.9719444444       0.5798896       +12.9715946       0.00560077013935       163 
0.575       27.2052777778       0.5715360       +27.2200997       0.00364186820786       165 
0.61125       3.35222222222       0.6101429       +3.3519245       0.00225477863868       168 
0.645       -3.71055555556       0.6450627       -3.7107575       0.00674442201158       176 
0.668333333333       8.7375       0.6662891       +8.7369938       0.00386141495061       179 
0.675       18.8966666667       0.6919785       +18.8860711       0.00419351088336       186 
0.712916666667       31.4875       0.7089573       +31.4849961       0.00373932945259       190 
0.774166666667       -1.91305555556       0.7734330       -1.9139550       0.00916175884001       205 
0.774166666667       31.0394444444       0.7870331       +31.0364247       0.00534308271133       206 
0.789583333333       25.1783333333       0.8028160       +25.1757596       0.00461457187439       208 
0.798333333333       15.9655555556       0.7971348       +15.9657014       0.00824490476808       212 
0.812916666667       16.1458333333       0.8121202       +16.1452997       0.0377949781711       218 
0.8       -10.7625       0.8240069       -10.7727913       0.00625883376452       219 
0.834583333333       29.795       0.8347988       +29.7971949       0.00401378883468       223 
0.840416666667       22.1027777778       0.8402056       +22.1019137       0.00425646714336       227 
0.85       27.3633333333       0.8634914       +27.3539722       0.00335772660569       240 
0.884583333333       -10.745       0.8838399       -10.7446149       0.00630550442471       243 
0.897083333333       23.2002777778       0.8958545       +23.2006849       0.00971140647937       250 
0.925       15.2169444444       0.9295449       +15.2190022       0.0134215636522       255 
0.925       4.26694444444       0.9122238       +4.2564645       0.00202749769993       258 
0.954583333333       7.47916666667       0.9537943       +7.4786190       0.0110051297687       263 
0.995833333333       20.75       0.9947628       +20.7525865       0.0198635133357       279 
1.00416666667       -11.1769444444       1.002696       -11.177981       0.00222441213538       281 
1.00708333333       -11.1741666667       1.006333       -11.17425       0.00435474945219       282 
1.05       10.78       1.0541098       +10.7904483       0.00436029867324       296 
1.05       22.5966666667       1.0599505       +22.5882535       0.00359004187267       298 
1.075       6.16333333333       1.0877338       +6.1703286       0.00168290930409       301 
1.10333333333       31.4736111111       1.1022370       +31.4720605       0.00876364350481       303 
1.1       5.84027777778       1.1192169       +5.8471792       0.00658936752477       305 
1.1275       5.19861111111       1.1282662       +5.2002079       0.0056563509453       307 
1.13666666667       33.5588888889       1.1324835       +33.5576600       0.00416131246292       309 
1.125       -7.07555555556       1.0807939       -7.0636918       0.00390693877102       312 
1.125       28.3088888889       1.1400823       +28.3020337       0.0044528989084       313 
1.16625       -8.10055555556       1.1661589       -8.1002725       0.00804957442212       320 
1.17583333333       26.8319444444       1.1857387       +26.8328692       0.00483371079872       323 
1.20333333333       -1.49805555556       1.2028182       -1.4978651       0.00233382511626       330 
1.25       5.12333333333       1.2409482       +5.1235410       0.00367532791653       353 
1.27541666667       22.1902777778       1.2767466       +22.1890512       0.00352032568526       355 
1.3       6.25333333333       1.2886131       +6.2594537       0.00830335409367       365 
1.3       6.77       1.3078221       +6.7716899       0.00679887818908       366 
1.35       5.17833333333       1.3616959       +5.1761943       0.0044528989084       377 
1.35       5.22833333333       1.3627072       +5.2219914       0.00556014702585       378 
1.425       27.4497222222       1.4468488       +27.4496594       0.00405685848077       415 
1.48333333333       22.4911111111       1.4836428       +22.4924426       0.00471724923339       431 
1.5       13.1183333333       1.5260782       +13.1253254       0.00346755457786       450 
1.5       14.4183333333       1.5098204       +14.4177784       0.00346711870901       451 
1.55916666667       8.8875       1.5592537       +8.8876734       0.00371337283894       465 
1.58125       20.2025       1.5813962       +20.2029565       0.00214133051727       473 
1.61875       -3.71611111111       1.6186090       -3.7162000       0.0106802238695       485 
1.625       17.2705555556       1.6593491       +17.2843945       0.00312603451144       496 
